frame,id,x1,y1,x2,y2
1,1,1106.95,513.191,1130.17,588.287
1,2,831.891,459.501,1797.86,740.324
1,3,1629.8,654.309,1690.19,850.144
1,4,1336.4,511.234,1360.12,580.524
1,5,1322.94,543.079,1339.89,570.633
1,6,1310.42,552.317,1324.03,577.277
1,7,1087.29,511.362,1109.83,578.682
1,8,780.048,572.499,826.038,701.184
1,9,1315.39,555.975,1328.58,584.99
1,10,1327.19,549.861,1345.84,584.508
1,11,1331.89,541.12,1351.19,576.035
1,12,1316.62,503.99,1356.5,584.626
1,13,1320.04,521.298,1335.16,561.797
1,14,132.758,412.013,1812.12,1006.38
1,15,581.822,776.278,691.233,1005.39
1,16,273.945,685.446,330.01,846.875
1,17,141.403,446.944,1021.3,1026.44
1,18,1309.76,551.149,1322.35,566.299
1,19,1340.21,548.487,1361.46,582.753
1,20,264.98,679.205,311.71,888.399
1,21,41.7766,282.598,1804.16,783.027
1,22,1328.21,508.6,1352.38,564.437
1,23,1354.04,516.948,1376.49,582.279
1,24,1100.37,509.615,1121.88,586.198
1,25,1338.52,505.131,1361.69,544.741
1,26,1318.64,505.986,1341.31,564.444
1,27,1343.84,508.904,1369.32,565.094
1,28,1322.17,502.221,1337.62,517.628
1,29,1348.28,536.778,1370.09,587.294
1,30,1582.09,448.822,1592.35,477.118
1,31,1318.36,503.279,1335.36,525.493
1,32,1318.59,506.175,1338.68,538.207
1,33,1343.03,505.012,1362.95,529.852
1,34,161.938,769.711,291.758,960.714
1,35,1339.31,503.34,1355.41,522.349
2,1,1107.49,512.701,1130.07,584.36
2,2,838.059,466.512,1834.95,825.669
2,3,1630.06,653.675,1690.83,850.267
2,4,1334.4,513.859,1362.47,580.977
2,5,1321.42,531.326,1337.74,563.83
2,6,1306.86,554.942,1326.76,587.099
2,7,1090.91,509.97,1108.53,574.099
2,8,778.895,572.875,825.292,702.967
2,10,1327.47,546.986,1347.7,586.962
2,12,1321.17,518.948,1370.16,589.549
2,13,1321.01,518.194,1334.76,557.016
2,14,155.055,407.431,1813.36,1007.86
2,15,588.532,775.171,693.394,1006.07
2,16,272.329,685.897,326.257,850.897
